Date,Close
1/17/2017,73.9
1/18/2017,74
1/19/2017,73.95
1/20/2017,74.15
1/23/2017,74.35
1/24/2017,74.6
1/25/2017,75.2
1/26/2017,73.6
1/27/2017,72.35
1/30/2017,70.9
1/31/2017,71.55
2/1/2017,70.5
2/2/2017,69.7
2/3/2017,71
2/6/2017,69.75
2/7/2017,69.15
2/8/2017,70.05
2/9/2017,72.1
2/10/2017,72
2/13/2017,74.8
2/14/2017,77
2/15/2017,77.9
2/16/2017,77.9
2/17/2017,78.75
2/21/2017,79.45
2/22/2017,78.85
2/23/2017,79.45
2/24/2017,78.35
2/27/2017,78.5
2/28/2017,76.8
3/1/2017,81.5
3/2/2017,83.25
3/3/2017,82.6
3/6/2017,77.25
3/7/2017,74.35
3/8/2017,75.9
3/9/2017,78.5
3/10/2017,80.25
3/13/2017,81
3/14/2017,78.8
3/15/2017,78.85
3/16/2017,77.55
3/17/2017,82.45
3/20/2017,80.45
3/21/2017,77.65
3/22/2017,77.4
3/23/2017,78.15
3/24/2017,81.1
3/27/2017,81.7
3/28/2017,81.45
3/29/2017,82.7
3/30/2017,84.6
3/31/2017,83.45
4/3/2017,83.05
4/4/2017,81.7
4/5/2017,80.55
4/6/2017,81.05
4/7/2017,81.7
4/10/2017,82.25
4/11/2017,83.15
4/12/2017,81.6
4/13/2017,81.45
4/17/2017,82.85
4/18/2017,81.75
4/19/2017,84.25
4/20/2017,84.5
4/21/2017,84.6
4/24/2017,84.7
4/25/2017,87.05
4/26/2017,87.35
4/27/2017,86.05
4/28/2017,85.45
5/1/2017,87.2
5/2/2017,88.35
5/3/2017,88.1
5/4/2017,88.25
5/5/2017,88.5
5/8/2017,85.75
5/9/2017,83.45
5/10/2017,89.45
5/11/2017,88.85
5/12/2017,83.75
5/15/2017,84.95
5/16/2017,84.65
5/17/2017,81.05
5/18/2017,81.9
5/19/2017,81.8
5/22/2017,82.45
5/23/2017,82.95
5/24/2017,83.95
5/25/2017,84.6
5/26/2017,84.1
5/30/2017,84.25
5/31/2017,82.85
6/1/2017,84.9
6/2/2017,86.5
6/5/2017,85.5
6/6/2017,84.35
